,80%
MNXM121_c,500.0447934775315
MNXM121_e,500.00417849713864
MNXM121_n,0.0
MNXM1226_c,0.0037002922126703197
MNXM1229_c,500.0084020607055
MNXM1229_e,500.00033942172115
MNXM1230_c,0.0001939719492913844
MNXM1230_e,9.698597466467618e-05
MNXM1241_m,0.0
MNXM12466_e,0.0
MNXM12471_g,1.8988630382188888e-05
MNXM12472_g,0.0
MNXM124_c,0.00040706510332820696
MNXM124_e,0.0
MNXM12526_e,0.0
MNXM12527_e,0.0
MNXM1253_c,0.005350275415920985
MNXM1255_c,0.013587838736205367
MNXM12597_e,0.0
MNXM125_c,0.01282979509856881
MNXM125_e,0.0
MNXM126241_e,0.0
MNXM12647_c,0.0007030196134380224
MNXM12672_c,0.0
MNXM126_c,0.035766218117394596
MNXM126_m,0.0
MNXM127273_e,0.0
MNXM12733_c,1000.0
MNXM12747_c,0.0
MNXM12766_c,3.0784989348831004e-06
MNXM12766_e,3.0784989348831004e-06
MNXM1277_m,0.008044009523221604
MNXM127_c,0.008785425606999797
MNXM127_e,0.003174140817807256
MNXM127_r,0.0
MNXM1280_m,0.0022371653946741663
MNXM1282_c,1000.0145166729861
MNXM1288_c,0.0004701586805993262
MNXM1289_c,0.045726874131018384
MNXM1289_m,0.02913485585067542
MNXM1289_x,0.02913485585069384
MNXM128_c,0.0017032155603766237
MNXM128_e,500.0017032155604
MNXM12938_g,0.0
MNXM1294_c,0.02513650178693161
MNXM12953_e,0.0
MNXM12955_c,1000.0007032253858
MNXM12955_e,500.0001096153854
MNXM12955_l,0.0011872200008211785
MNXM12955_r,500.0010244756221
MNXM12964_c,500.0
MNXM12964_x,500.0
MNXM12967_c,0.0
MNXM12967_e,0.0
MNXM12985_c,500.0
MNXM12985_e,500.0
MNXM12996_e,0.0
MNXM12997_e,0.0
MNXM12998_e,0.0
MNXM12999_e,0.0
MNXM129_c,500.0059292393713
MNXM129_e,500.0007805582618
MNXM12_c,2000.067126051461
MNXM12_g,500.0
MNXM12_l,500.0179227400961
MNXM12_m,500.1057895665435
MNXM12_r,0.0038325512452803984
MNXM12_x,500.0151232519227
MNXM13045_e,0.0
MNXM1319_g,0.0
MNXM131_c,0.1425456073143323
MNXM131_e,0.0
MNXM131_m,0.16613869851160568
MNXM1320_c,500.0046052222072
MNXM1320_e,0.004605222207177446
MNXM1320_m,5.856831045930867e-05
MNXM1322_e,0.0
MNXM13247_g,0.0
MNXM132_c,0.0009928390201250567
MNXM132_x,0.0
MNXM1331_c,1000.0
MNXM1331_e,0.0
MNXM1337_c,3.0784989348831004e-06
MNXM1337_e,3.0784989348831004e-06
MNXM133_c,0.0041211093689398764
MNXM133_m,0.001993140957809371
MNXM13407_g,0.0
MNXM1341_c,0.0016813672166368424
MNXM1341_e,0.0
MNXM134_c,0.0206979079340014
MNXM134_e,0.04447763069366471
MNXM134_l,0.0002295789598850379
MNXM134_m,0.0001387150725899601
MNXM1354_c,0.0037452151536983445
MNXM135_c,1000.0016218835824
MNXM135_e,0.0014064507715175055
MNXM135_r,1000.0002154328108
MNXM1369_c,0.0020379663682385677
MNXM1369_e,0.0020379663682385677
MNXM1369_r,0.0
MNXM1372_c,0.0
MNXM13802_r,0.0
MNXM13807_e,0.00047428209710647957
MNXM1383_c,0.0008689332890034891
MNXM1383_e,0.0008689332890034891
MNXM1389_c,0.000802804653899112
MNXM138_c,0.0
MNXM1392_e,0.0
MNXM1392_m,0.0006197138155101948
MNXM1399_c,1000.0
MNXM1399_m,500.0
MNXM1399_r,500.0
MNXM13_c,2500.069022333542
MNXM13_e,1000.0032185391785
MNXM13_m,500.12329664556427
MNXM13_r,1000.0016096432886
MNXM13_x,500.01531273927986
MNXM140_c,500.05383124234413
MNXM140_e,0.07044601983867249
MNXM140_l,0.0
MNXM140_m,500.00568336511355
MNXM141_c,0.0030917503668473323
MNXM141_g,0.005246876817633357
MNXM141_n,0.0021551264507860247
MNXM142_c,0.09008989475636442
MNXM142_e,0.11352644475636442
MNXM142_l,0.0
MNXM142_m,0.0
MNXM143_c,0.004555240836165394
MNXM143_e,0.0
MNXM143_l,0.0038398095295020707
MNXM1445_e,0.0
MNXM1449_c,500.0
MNXM1449_x,500.0
MNXM144_c,1000.0020698735341
MNXM144_e,500.0011301389798
MNXM144_m,500.00016247858736
MNXM14550_x,7.569931052292045e-05
MNXM145523_c,1500.0716865317077
MNXM145523_e,0.07582350392934581
MNXM145523_m,0.015310051544448804
MNXM145560_c,0.006905046974182521
MNXM145598_c,500.0004585861203
MNXM145598_e,0.00021923077075873483
MNXM145598_r,500.00023935534955
MNXM145630_c,0.006386616485065728
MNXM145630_e,0.0
MNXM145630_m,0.0
MNXM145923_l,0.0
MNXM145_c,500.01465455467576
MNXM145_r,500.00136143353353
MNXM146054_c,0.0008870680066770766
MNXM146222_l,0.0
MNXM146252_c,0.0
MNXM146307_m,0.0029908730679692203
MNXM146308_r,0.0004964195100680907
MNXM146350_m,0.0029908730679692203
MNXM146468_c,0.0004070651033316608
MNXM146487_c,0.026320694443925804
MNXM146507_r,0.03169159678527536
MNXM146564_e,0.0
MNXM146565_e,0.0
MNXM1465_e,0.0
MNXM146651_c,0.0
MNXM146651_e,0.0
MNXM146866_n,0.0
MNXM146867_e,0.0
MNXM147029_c,0.00021923077075873483
MNXM147029_e,0.00021923077075873483
MNXM147029_r,0.0004308656216980341
MNXM147044_c,9.204977521890052e-05
MNXM147044_m,9.204977521890052e-05
MNXM147072_c,0.001057854177530798
MNXM147123_c,9.204977521890052e-05
MNXM147123_m,9.204977521890052e-05
MNXM147296_g,500.0014373122342
MNXM147296_l,500.0007154313066
MNXM147338_e,0.0
MNXM147340_e,0.0
MNXM147467_c,0.00021923077075873483
MNXM147467_e,0.00021923077075873483
MNXM147791_c,0.00047467599967099174
MNXM147_c,0.09487454085918444
MNXM147_e,0.116315724294039
MNXM147_l,0.0
MNXM147_m,0.003942035907147626
MNXM1481_c,0.0
MNXM1484_e,0.0
MNXM148_c,0.0068693676399967565
MNXM148_m,0.00178172089309101
MNXM1491_c,1000.0
MNXM149_c,0.00022463163319108768
